EURUSD Historical Data
Date,Open,High,Low,Close,Change(Pips),Change(%)
01/30/2026 00:00,1.19676,1.19733,1.18485,1.1851,-116.6,-0.98,
01/29/2026 00:00,1.19536,1.19967,1.19059,1.19706,17.0,0.14,
01/28/2026 00:00,1.20366,1.20458,1.18958,1.19537,-82.9,-0.69,
01/27/2026 00:00,1.18697,1.20821,1.18503,1.204,170.3,1.41,
01/26/2026 00:00,1.18628,1.19069,1.18348,1.18802,17.4,0.15,
01/25/2026 00:00,1.18628,1.18976,1.18484,1.18599,-2.9,-0.02,
01/23/2026 00:00,1.1746,1.18335,1.17283,1.18294,83.4,0.71,
01/22/2026 00:00,1.16811,1.17564,1.16701,1.17549,73.8,0.63,
01/21/2026 00:00,1.17189,1.1743,1.16764,1.16875,-31.4,-0.27,
01/20/2026 00:00,1.1641,1.17689,1.16326,1.17265,85.5,0.73,
01/19/2026 00:00,1.15818,1.16489,1.15764,1.16458,64.0,0.55,
01/18/2026 00:00,1.15775,1.16268,1.15763,1.16241,46.6,0.40,
01/16/2026 00:00,1.16088,1.16275,1.15843,1.1597,-11.8,-0.10,
01/15/2026 00:00,1.16449,1.16458,1.1592,1.16092,-35.7,-0.31,
01/14/2026 00:00,1.16417,1.1662,1.1634,1.16449,3.2,0.03,
01/13/2026 00:00,1.16673,1.16773,1.1634,1.1642,-25.3,-0.22,
01/12/2026 00:00,1.16236,1.16983,1.16219,1.16672,43.6,0.37,
01/11/2026 00:00,1.1627,1.16334,1.16228,1.16239,-3.1,-0.03,
01/09/2026 00:00,1.16583,1.16603,1.16181,1.1636,-22.3,-0.19,
01/08/2026 00:00,1.1677,1.16832,1.1641,1.16577,-19.3,-0.17,
01/07/2026 00:00,1.16871,1.17028,1.1671,1.16771,-10.0,-0.09,
01/06/2026 00:00,1.17146,1.1743,1.1682,1.16869,-27.7,-0.24,
01/05/2026 00:00,1.17051,1.17289,1.1657,1.17148,9.7,0.08,
01/04/2026 00:00,1.1719,1.17216,1.17002,1.17053,-13.7,-0.12,
01/02/2026 00:00,1.17507,1.17651,1.17131,1.17171,-33.6,-0.29,
01/01/2026 00:00,1.17436,1.17509,1.17422,1.17509,7.3,0.06,
12/31/2025 00:00,1.17457,1.17594,1.1719,1.1732,-13.7,-0.12,
12/30/2025 00:00,1.17724,1.17801,1.17432,1.17454,-27.0,-0.23,
12/29/2025 00:00,1.17726,1.1789,1.1748,1.17721,-0.5,0.00,
12/28/2025 00:00,1.17636,1.1778,1.17628,1.17724,8.8,0.07,
12/26/2025 00:00,1.17759,1.17968,1.17615,1.17701,-5.8,-0.05,
12/25/2025 00:00,1.1777,1.17845,1.17734,1.17841,7.1,0.06,
12/24/2025 00:00,1.17872,1.18081,1.17726,1.17807,-6.5,-0.06,
12/23/2025 00:00,1.17638,1.18023,1.1762,1.17949,31.1,0.26,
12/22/2025 00:00,1.17101,1.17692,1.17093,1.17635,53.4,0.45,
12/21/2025 00:00,1.17144,1.17162,1.17059,1.171,-4.4,-0.04,
12/19/2025 00:00,1.1725,1.17379,1.17026,1.17054,-19.6,-0.17,
12/18/2025 00:00,1.17413,1.17625,1.17126,1.17245,-16.8,-0.14,
12/17/2025 00:00,1.1745,1.17579,1.17031,1.17405,-4.5,-0.04,
12/16/2025 00:00,1.17538,1.18039,1.17349,1.17494,-4.4,-0.04,
12/15/2025 00:00,1.17371,1.1769,1.17269,1.17534,16.3,0.14,
12/14/2025 00:00,1.17345,1.17411,1.17259,1.17372,2.7,0.02,
12/12/2025 00:00,1.1741,1.175,1.17193,1.174,-1,-0.01,
12/11/2025 00:00,1.17017,1.17628,1.16822,1.17409,39.2,0.33,
12/10/2025 00:00,1.16282,1.17029,1.16218,1.17016,73.4,0.63,
12/09/2025 00:00,1.16404,1.16574,1.16147,1.1628,-12.4,-0.11,
12/08/2025 00:00,1.16407,1.16722,1.1616,1.1641,0.3,0.00,
12/07/2025 00:00,1.1634,1.16461,1.1634,1.16405,6.5,0.06,
12/05/2025 00:00,1.16425,1.16718,1.16283,1.16416,-0.9,-0.01,
12/04/2025 00:00,1.16655,1.16822,1.1634,1.16426,-22.9,-0.20,
12/03/2025 00:00,1.16285,1.16781,1.16276,1.16662,37.7,0.32,
12/02/2025 00:00,1.16065,1.16292,1.15913,1.16286,22.1,0.19,
12/01/2025 00:00,1.16014,1.16521,1.15893,1.16067,5.3,0.05,
11/30/2025 00:00,1.15907,1.16079,1.1589,1.1601,10.3,0.09,
11/28/2025 00:00,1.15905,1.16072,1.15548,1.15973,6.8,0.06,
11/27/2025 00:00,1.16019,1.16138,1.15764,1.15998,-2.1,-0.02,
11/26/2025 00:00,1.15647,1.16023,1.15472,1.16022,37.5,0.32,
11/25/2025 00:00,1.15201,1.15858,1.15114,1.15652,45.1,0.39,
11/24/2025 00:00,1.15069,1.15503,1.15018,1.15199,13.0,0.11,
11/23/2025 00:00,1.15112,1.15148,1.1506,1.15071,-4.1,-0.04,
11/21/2025 00:00,1.15339,1.15522,1.149,1.15095,-24.4,-0.21,
11/20/2025 00:00,1.15395,1.15498,1.15024,1.15334,-6.1,-0.05,
11/19/2025 00:00,1.15722,1.15976,1.15181,1.15392,-33.0,-0.29,
11/18/2025 00:00,1.15899,1.16076,1.15712,1.15803,-9.6,-0.08,
11/17/2025 00:00,1.16144,1.16152,1.15819,1.15901,-24.3,-0.21,
11/16/2025 00:00,1.16119,1.16248,1.16115,1.16149,3.0,0.03,
11/14/2025 00:00,1.16303,1.16534,1.16061,1.1619,-11.3,-0.10,
11/13/2025 00:00,1.15917,1.16554,1.15788,1.16298,38.1,0.33,
11/12/2025 00:00,1.15864,1.15978,1.15627,1.15914,5.0,0.04,
11/11/2025 00:00,1.1557,1.16058,1.1547,1.15869,29.9,0.26,
11/10/2025 00:00,1.15529,1.15832,1.15412,1.15563,3.4,0.03,
11/09/2025 00:00,1.15538,1.15574,1.15412,1.15433,-10.5,-0.09,
11/07/2025 00:00,1.15488,1.15912,1.15294,1.15623,13.5,0.12,
11/06/2025 00:00,1.14955,1.15525,1.1493,1.15487,53.2,0.46,
11/05/2025 00:00,1.1485,1.14982,1.14686,1.14957,10.7,0.09,
11/04/2025 00:00,1.15186,1.15337,1.1473,1.14856,-33.0,-0.29,
11/03/2025 00:00,1.15269,1.15414,1.15051,1.15184,-8.5,-0.07,
11/02/2025 00:00,1.15311,1.15384,1.15255,1.15273,-3.8,-0.03,
10/31/2025 00:00,1.15716,1.15776,1.15212,1.15332,-38.4,-0.33,
10/30/2025 00:00,1.16027,1.16373,1.15467,1.15714,-31.3,-0.27,
10/29/2025 00:00,1.1657,1.16659,1.15772,1.16032,-53.8,-0.46,
10/28/2025 00:00,1.16505,1.16689,1.16253,1.16571,6.6,0.06,
10/27/2025 00:00,1.16309,1.16546,1.16174,1.16512,20.3,0.17,
10/26/2025 00:00,1.16286,1.16354,1.16248,1.16314,2.8,0.02,
10/24/2025 00:00,1.16174,1.16477,1.16009,1.1629,11.6,0.10,
10/23/2025 00:00,1.16073,1.16214,1.15853,1.16171,9.8,0.08,
10/22/2025 00:00,1.15996,1.16223,1.15769,1.1607,7.4,0.06,
10/21/2025 00:00,1.16441,1.16555,1.15968,1.15996,-44.5,-0.38,
10/20/2025 00:00,1.16579,1.16759,1.16384,1.1644,-13.9,-0.12,
10/19/2025 00:00,1.16637,1.16664,1.16518,1.16578,-5.9,-0.05,
10/17/2025 00:00,1.1699,1.17283,1.16465,1.1653,-46,-0.39,
10/16/2025 00:00,1.16457,1.16997,1.16427,1.16993,53.6,0.46,
10/15/2025 00:00,1.16035,1.1652,1.16014,1.1646,42.5,0.36,
10/14/2025 00:00,1.15648,1.16149,1.15427,1.16034,38.6,0.33,
10/13/2025 00:00,1.16015,1.16299,1.15573,1.15652,-36.3,-0.31,
10/12/2025 00:00,1.16099,1.16142,1.15916,1.16014,-8.5,-0.07,
10/10/2025 00:00,1.15656,1.16298,1.15592,1.1619,53.4,0.46,
10/09/2025 00:00,1.16288,1.16485,1.1542,1.15653,-63.5,-0.55,
10/08/2025 00:00,1.16529,1.16532,1.15982,1.1629,-23.9,-0.21,
10/07/2025 00:00,1.17091,1.1711,1.16477,1.16528,-56.3,-0.48,
